綜合評分,日文店名,英文店名,Blog
4.20,天ぷら 蕎楽亭,Kyorakutei,https://tabelog.com/tw/tokyo/A1309/A130903/13171952/
4.19,レストラン リューズ,RESTAURANT Ryuzu,https://tabelog.com/tw/tokyo/A1307/A130701/13122126/
4.19,蕃 YORONIKU,EBISU YORONIKU,https://tabelog.com/tw/tokyo/A1303/A130302/13211927/
4.19,ふぐ 福治,Fukuji,https://tabelog.com/tw/tokyo/A1301/A130101/13004009/
4.18,すきやばし 次郎,Sukiyabashi Jiro,https://tabelog.com/tw/tokyo/A1301/A130101/13002260/
4.18,おにく 花柳,Oniku Karyu,https://tabelog.com/tw/tokyo/A1302/A130204/13028856/
4.18,くろ﨑,Kurosaki,https://tabelog.com/tw/tokyo/A1303/A130301/13178821/
4.17,オマージュ,HOMMAGE,https://tabelog.com/tw/tokyo/A1311/A131102/13008700/
4.17,鮨 竜介,Ryusuke,https://tabelog.com/tw/tokyo/A1301/A130101/13185503/
4.17,新ばし 笹田,Sasada,https://tabelog.com/tw/tokyo/A1301/A130103/13020781/
4.17,味ひろ,Ajihiro,https://tabelog.com/tw/tokyo/A1313/A131301/13200027/
4.16,炭火焼 ゆうじ,sumibiyakiyuuji,https://tabelog.com/tw/tokyo/A1303/A130301/13001794/
4.16,中華そば しば田,chuukasobashibata,https://tabelog.com/tw/tokyo/A1326/A132601/13162681/
4.16,北島亭,Kitajimatei,https://tabelog.com/tw/tokyo/A1309/A130902/13000945/
4.16,Ata,Ata,https://tabelog.com/tw/tokyo/A1303/A130303/13150975/
4.16,焼肉 ジャンボ はなれ,yakinikujambo,https://tabelog.com/tw/tokyo/A1310/A131004/13160962/
4.16,炭火焼肉 なかはら,Nakahara,https://tabelog.com/tw/tokyo/A1309/A130904/13175110/
4.16,アルシミスト,Les Alchimistes,https://tabelog.com/tw/tokyo/A1316/A131602/13128454/
4.16,L'Octave Hayato KOBAYASHI,L'Octave Hayato KOBAYASHI,https://tabelog.com/tw/tokyo/A1309/A130901/13186978/
4.15,鳥茂,Torishige,https://tabelog.com/tw/tokyo/A1304/A130401/13001067/
4.15,江戸前鮓 すし通,Sushi Tsu,https://tabelog.com/tw/tokyo/A1307/A130701/13061640/
4.15,リストランテ 濱崎,RISTORANTE HAMASAKI,https://tabelog.com/tw/tokyo/A1306/A130602/13005340/
4.15,レンゲ,Renge,https://tabelog.com/tw/tokyo/A1301/A130101/13183555/
4.14,銀座 小十,Kojyu,https://tabelog.com/tw/tokyo/A1301/A130101/13005683/
4.14,うを徳,Uwotoku,https://tabelog.com/tw/tokyo/A1312/A131203/13017947/
4.14,らんまる,Rammaru,https://tabelog.com/tw/tokyo/A1317/A131710/13217903/
4.14,ラ クレリエール,La Clairiere,https://tabelog.com/tw/tokyo/A1316/A131602/13194179/
4.14,サトブリDA,Satoburidhie,https://tabelog.com/tw/tokyo/A1319/A131905/13216529/
4.13,ふぐ 牧野,Makino,https://tabelog.com/tw/tokyo/A1311/A131101/13003708/
4.13,サンプリシテ,Sampurishite,https://tabelog.com/tw/tokyo/A1303/A130303/13216899/
4.13,THIERRY MARX salon,thieri-marukususaron,https://tabelog.com/tw/tokyo/A1301/A130101/13199524/
4.12,中国飯店 富麗華,FUREIKA,https://tabelog.com/tw/tokyo/A1307/A130702/13004967/
4.12,赤坂 菊乃井,Akasaka Kikunoi,https://tabelog.com/tw/tokyo/A1308/A130801/13002514/
4.12,la Brianza,La Brianza,https://tabelog.com/tw/tokyo/A1307/A130701/13194346/
4.12,ボッテガ,BOTTEGA,https://tabelog.com/tw/tokyo/A1307/A130703/13204358/
4.12,もりかわ,Morikawa,https://tabelog.com/tw/tokyo/A1308/A130801/13002772/
4.11,フロリレージュ,Florilège,https://tabelog.com/tw/tokyo/A1306/A130601/13093814/
4.11,匠 進吾,Takumi Shingo,https://tabelog.com/tw/tokyo/A1306/A130603/13155925/
4.11,私厨房 勇,Yung,https://tabelog.com/tw/tokyo/A1316/A131602/13168401/
4.11,すきやばし 次郎 六本木ヒルズ店,Sukiyabashi Jiro,https://tabelog.com/tw/tokyo/A1307/A130701/13004426/
4.11,4000 Chinese Restaurant,yonsenchaini-zuresutoran,https://tabelog.com/tw/tokyo/A1307/A130703/13229559/
4.10,イル テアトリーノ ダ サローネ,IL TEATRINO DA SALONE,https://tabelog.com/tw/tokyo/A1307/A130703/13110652/
